id,packet_id,type,label,url,content,order,created_at
bac33f40-0679-4bbf-a17e-941bd129a8fa,a9133bd4-8bc3-455a-aeaf-61cf0aa66db9,file,Addendum regarding leases,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/a9133bd4-8bc3-455a-aeaf-61cf0aa66db9/0.4204782984367401.pdf,,5,2025-12-05 17:43:09.123465+00
bfbcc16a-0ea8-4e09-a05c-0d89c307ff4d,3b612947-10a1-478c-81ab-a723687d0edd,file,MLS Agent Full,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/3b612947-10a1-478c-81ab-a723687d0edd/0.022965113155627548.pdf,,3,2025-12-03 15:40:07.949768+00
d126a5fd-8e3b-4d15-9a18-28c0eb229932,e4f78ee0-1bb0-4152-9491-b122fde198f1,text,What our seller's love about the property!,,"• Very affordable for a 4 bed 3 bath
• Nearly 3,000 sqft
• Excellent location near campus
• In excellent condition",2,2025-12-23 17:15:34.810053+00
d3347269-54ba-4cbe-abdb-aed66a73fa98,3b612947-10a1-478c-81ab-a723687d0edd,file,Seller's Disclosure,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/3b612947-10a1-478c-81ab-a723687d0edd/0.5027889706540786.pdf,,1,2025-12-03 15:40:07.949768+00
d4bbed41-41cd-4ebd-97fa-9e02639e0371,5fc4b4e6-5cd2-41a1-85aa-340f975b2d9f,text,What our seller's love about the property!,,"• Very affordable for a 4 bed 3 bath
• Nearly 3,000 sqft
• Excellent location near campus
• In excellent condition",2,2025-12-23 17:15:26.702648+00
d6166e4c-47f2-45f8-9ae5-bcbcc6e8c954,5f2293e9-88f9-4df0-99be-a394689dbe5c,file,Offer Instructions,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/5f2293e9-88f9-4df0-99be-a394689dbe5c/0.5318780483496692.pdf,,0,2025-12-05 17:51:07.681185+00
d7a4d6d7-436b-4d65-9139-a2494bdbd647,5f2293e9-88f9-4df0-99be-a394689dbe5c,text,What our seller's love about the property!,,"• Aerobic Septic on site
• Energy Star appliances
• Generous square foot for a 3 bed 2 bath
• Large detached garage and shop
• Large 7 acre lot
• Convenient location while being outside of major city areas",4,2025-12-05 17:51:07.681185+00
e62d26c4-3971-48df-9e41-e5dc3b96717c,a9133bd4-8bc3-455a-aeaf-61cf0aa66db9,text,What our seller's love about the property!,,"• Excellent rental opportunity
• Near campus with shopping and dining
• Currently all 4 units are leased
• Small outside area ideal for pet owners
• Rare opportunity at a 4-plex in the area",4,2025-12-05 17:43:09.123465+00
e632cb1b-c872-40b8-b3d2-688f271a0be6,73967b18-c928-4fb0-9ee7-92e8606e2cee,file,MLS Listing,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/73967b18-c928-4fb0-9ee7-92e8606e2cee/0.7393623878829858.pdf,,3,2025-12-05 17:23:48.055463+00
e63a7f6e-67f7-4eb9-bc12-9f2b14889edf,33adc5c1-5a43-400b-834f-056c9c711ba7,file,Regarding Flood Disclosure,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/33adc5c1-5a43-400b-834f-056c9c711ba7/0.22548662577556577.pdf,,1,2025-12-09 19:21:22.718822+00
e641fdd3-47fa-487b-bb25-fe39a377f964,e4f78ee0-1bb0-4152-9491-b122fde198f1,file,Offer Instructions,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/e4f78ee0-1bb0-4152-9491-b122fde198f1/0.35190313595434464.pdf,,0,2025-12-23 17:15:34.810053+00
eacc58fa-8bc1-48ff-b744-a9271951922a,a4534603-72d0-4f6b-831b-c045ec953d7e,file,Qualifying Tenant Criteria,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/a4534603-72d0-4f6b-831b-c045ec953d7e/0.9973047392857389.pdf,,2,2025-12-08 22:15:03.931451+00
ee3b5b68-68c3-40fe-bcbc-e4034e77f8cd,3b612947-10a1-478c-81ab-a723687d0edd,link,View the property on our website!,https://stewartandjane.com/6044-toby-bend-bryan/,,2,2025-12-03 15:40:07.949768+00
f3bcce39-a0f6-43d0-95ec-baa0614b7c5e,5f2293e9-88f9-4df0-99be-a394689dbe5c,file,MLS Worksheet,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/5f2293e9-88f9-4df0-99be-a394689dbe5c/0.24130194920379722.pdf,,5,2025-12-05 17:51:07.681185+00
f70ca485-d3cc-4485-9147-6c3ce60bc4c0,a9133bd4-8bc3-455a-aeaf-61cf0aa66db9,file,Minerals DO NOT Convey,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/a9133bd4-8bc3-455a-aeaf-61cf0aa66db9/0.054370048025440654.pdf,,1,2025-12-05 17:43:09.123465+00
